LOCATION ID,LOCATION CODE,LOCATION NAME,LOCATION TYPE,LOCATION COUNTRY CODE,AREA COST,SETUP COST,HANDLING COST,C AND F COST
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,FACTORY,,0.0,0.0,0.0,0.0
DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,WAREHOUSE,,0.0,0.0,46640.880000000005,0.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,SUPPLIER,,0.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,,0.0,0.0,538916.8,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,,0.0,0.0,0.0,0.0
L2_69_THOMAS_KERSHAW_TUG,L2_69_THOMAS_KERSHAW_TUG,THOMAS KERSHAW_SOUTH CHINA,SUPPLIER,,0.0,0.0,0.0,0.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,WAREHOUSE,,0.0,0.0,36973.8,0.0
DC_JV_Baseco_Panama_TUG,DC_JV_Baseco_Panama_TUG,PAN WH,WAREHOUSE,,0.0,0.0,47567.64,0.0
DC_99953_KOREA_TUG,DC_99953_KOREA_TUG,KR WH,WAREHOUSE,,0.0,0.0,1078.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,,0.0,0.0,2417958.6,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,,0.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,,0.0,0.0,1727324.4,0.0
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,WAREHOUSE,,0.0,0.0,200397.12,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,,0.0,0.0,1859344.8,0.0
