LOCATION ID,LOCATION CODE,LOCATION NAME,LOCATION COUNTRY CODE,PRODUCT ID,PRODUCT NAME,PRODUCT CATEGORY,PRODUCT TYPE,AVERAGE DEMAND,TOTAL SAFETY STOCK,AVERAGE WEEKS OF SUPPLY,AVERAGE MONTHS OF SUPPLY,CAPACITY,DEMAND VARIABILITY,SAFETY STOCK PROCUREMENT COST,SAFETY STOCK CAPITAL LOCK COST
W06_TUG,W06_TUG,Canada WH,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,711629.5,169734.90299768,0.9540633321000886,0.23851583302502216,0.0,301444.0684934548,507203.8912032671,3550427.2384228697
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,11411.666666666666,3407.18597965785,1.1942816344645597,0.2985704086161399,0.0,5454.351359350638,10181.394376849516,71269.7606379466
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,79107.0,35217.84862885063,1.7807702796895664,0.4451925699223916,0.0,58371.26524057502,105238.40146540065,736668.8102578046
DC_JV_Baseco_Panama_TUG,DC_JV_Baseco_Panama_TUG,PAN WH,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,19180.5,7698.33596759565,1.605450528942551,0.40136263223563773,0.0,13282.858374031252,23004.26070062886,161029.82490440202
DC_99953_KOREA_TUG,DC_99953_KOREA_TUG,KR WH,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,550.0,173.13927681929368,1.259194740503954,0.3147986851259885,0.0,286.9669512549712,517.3768822554173,3621.6381757879208
DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,14949.0,4563.0507202279505,1.2209648057336144,0.3052412014334036,0.0,7333.340074753394,13635.363382445394,95447.54367711776
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,10197.5,2550.98127048398,1.000630064421272,0.250157516105318,0.0,4337.590766148649,14014.99546630214,98104.96826411498
W46_TUG,W46_TUG,US WH,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,1302790.3333333333,403970.927172818,1.2403252214474565,0.3100813053618641,0.0,717440.1828344747,1207150.813276427,8450055.69293499
W06_TUG,W06_TUG,Canada WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,8089.0,2362.96711879334,1.1684841729723523,0.2921210432430881,0.0,4196.558335530182,12982.052765376297,90874.36935763407
W46_TUG,W46_TUG,US WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,60780.0,14420.7518209904,0.9490458585712668,0.2372614646428167,0.0,25610.82030201625,79227.06988495625,554589.4891946937
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,130128.0,19105.2996170742,0.5872771307350978,0.14681928268377445,0.0,34106.69909195725,57090.687520626045,399634.8126443823
GDEUML_TUG,GDEUML_TUG,EU WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,15326.0,4406.53802332109,1.1500816973303118,0.28752042433257796,0.0,7702.628741811427,24209.354703422116,169465.4829239548
GDEUML_TUG,GDEUML_TUG,EU WH,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,506267.3333333333,161111.86754745172,1.2729390734074757,0.3182347683518689,0.0,274900.58659926575,481436.4323182829,3370055.02622798
